card,meaning,type
Mato,Instinct,Trait
Mato,Primal impulse,Trait
Mato,Untamed energy,Trait
Panfilio,Craftsmanship,Trait
Panfilio,Skill,Trait
Panfilio,Creative ability,Trait
Postumio,Authority,Trait
Postumio,Judgment,Trait
Postumio,Decisive action,Trait
Lenpio,Violence,Trait
Lenpio,Conflict,Trait
Lenpio,Raw power,Trait
Mario,Victory,Trait
Mario,Triumph,Trait
Mario,Military prowess,Trait
Catulo,Melancholy,Trait
Catulo,Reflection,Trait
Catulo,Artistic temperament,Trait
Sesto,Celebration,Trait
Sesto,Abundance,Trait
Sesto,Joy,Trait
Deo Tauro,Divine strength,Trait
Deo Tauro,Untamed nature,Trait
Deo Tauro,Bestial power,Trait
Nerone,Tyranny,Trait
Nerone,Excess,Trait
Nerone,Destructive force,Trait
Falco,Pursuit,Trait
Falco,Ambition,Trait
Falco,Focused intent,Trait
Venturio,Change,Trait
Venturio,Fortune,Trait
Venturio,The turning wheel,Trait
Tulio,Communication,Trait
Tulio,Eloquence,Trait
Tulio,Persuasive speech,Trait
Carbone,Sacrifice,Trait
Carbone,Trial,Trait
Carbone,Transformation,Trait
Catone,Justice,Trait
Catone,Balance,Trait
Catone,Moral integrity,Trait
Bocho,Temperance,Trait
Bocho,Moderation,Trait
Bocho,Alchemical blending,Trait
Metelo,Passion,Trait
Metelo,Desire,Trait
Metelo,Earthly bonds,Trait
Olivo,Upheaval,Trait
Olivo,Sudden change,Trait
Olivo,Revelation,Trait
Ipeo,Hope,Trait
Ipeo,Inspiration,Trait
Ipeo,Visionary insight,Trait
Lentulo,Illusion,Trait
Lentulo,Hidden dangers,Trait
Lentulo,Subconscious,Trait
Sabino,Illumination,Trait
Sabino,Clarity,Trait
Sabino,Awakened consciousness,Trait
Nenbroto,Judgement,Trait
Nenbroto,Reckoning,Trait
Nenbroto,Finality,Trait
Nabuchodenasor,Completion,Trait
Nabuchodenasor,Achievement,Trait
Nabuchodenasor,The world,Trait
Ace of Cups,Beginnings of emotion,Trait
Ace of Cups,Potential for love,Trait
Ace of Cups,Inner wellspring,Trait
Two of Cups,Partnership,Trait
Two of Cups,Union,Trait
Two of Cups,Harmony,Trait
Three of Cups,Celebration,Trait
Three of Cups,Community,Trait
Three of Cups,Joyful sharing,Trait
Four of Cups,Reflection on feelings,Trait
Four of Cups,Contemplation,Trait
Four of Cups,Inward focus,Trait
Five of Cups,Loss and grief,Trait
Five of Cups,Emotional pain,Trait
Five of Cups,Regret,Trait
Six of Cups,Nostalgia,Trait
Six of Cups,Memories,Trait
Six of Cups,Kindness,Trait
Seven of Cups,Choices of the heart,Trait
Seven of Cups,Illusory feelings,Trait
Seven of Cups,Fantasies,Trait
Eight of Cups,Leaving emotions behind,Trait
Eight of Cups,Walking away,Trait
Eight of Cups,Searching for deeper meaning,Trait
Nine of Cups,Emotional fulfillment,Trait
Nine of Cups,Wishes of the heart,Trait
Nine of Cups,Contentment,Trait
Ten of Cups,Emotional harmony,Trait
Ten of Cups,Family,Trait
Ten of Cups,Long-term happiness,Trait
Knave of Cups,Messenger of emotions,Trait
Knave of Cups,Sensitivity,Trait
Knave of Cups,New feelings,Trait
Knight of Cups,Pursuit of love,Trait
Knight of Cups,Romantic quest,Trait
Knight of Cups,Idealism,Trait
Queen of Cups,Emotional depth,Trait
Queen of Cups,Intuition,Trait
Queen of Cups,Compassion,Trait
King of Cups,Emotional mastery,Trait
King of Cups,Compassionate leader,Trait
King of Cups,Balanced feelings,Trait
card_name,quality,Trait
Ace of Coins,New beginnings in material world,Trait
Ace of Coins,Potential for resources,Trait
Ace of Coins,Foundation,Trait
Two of Coins,Adaptability,Trait
Two of Coins,Change in circumstances,Trait
Two of Coins,Balancing priorities,Trait
Three of Coins,Skill and craftsmanship,Trait
Three of Coins,Learning a trade,Trait
Three of Coins,Collaboration,Trait
Four of Coins,Holding onto possessions,Trait
Four of Coins,Security,Trait
Four of Coins,Material stability,Trait
Five of Coins,Hardship,Trait
Five of Coins,Financial difficulties,Trait
Five of Coins,Loss,Trait
Six of Coins,Sharing resources,Trait
Six of Coins,Generosity,Trait
Six of Coins,Commerce,Trait
Seven of Coins,Patience,Trait
Seven of Coins,Evaluation,Trait
Seven of Coins,Long-term growth,Trait
Eight of Coins,Diligence,Trait
Eight of Coins,Hard work,Trait
Eight of Coins,Mastery,Trait
Nine of Coins,Independence,Trait
Nine of Coins,Self-sufficiency,Trait
